Project;CommitID;Developer;Title;Summary;IssueKey;IssueType;CreatedDate;ResolvedDate;PatternChanges;Column1;Column2
ZooKeeper;bee2ef8da3c4a7a2a1925ac8fc5375a7dee702ae;Zili Chen;[ZOOKEEPER-3350] Get rid of CommonNames;Get rid of CommonNames;ZOOKEEPER-3350;Improvement;Mon- 8 Apr 2019 09:04:50 +0000;Fri- 3 May 2019 15:39:48 +0000;1 instances of the Flyweight Pattern were REMOVED;;
ZooKeeper;92257ef143ac94c37941600474d30fe22e1a1a6e;Zili Chen;[ZOOKEEPER-3391] Drop unused CSVInputArchive and XMLInputArchive;Drop unused CSVInputArchive and XMLInputArchive;ZOOKEEPER-3391;Improvement;Mon- 13 May 2019 18:04:18 +0000;Thu- 20 Jun 2019 18:26:07 +0000;1 instances of the Factory Pattern were REMOVED;1 instances of the Method Pattern were REMOVED;1 instances of the Facade Pattern were REMOVED
ZooKeeper;ed70d2edcb78a7e30ae60170ea986fb85e862b4b;Hiram R. Chirino;[ZOOKEEPER-82] Make the ZooKeeperServer more DI friendly;Make the ZooKeeperServer more DI friendly;ZOOKEEPER-82;Improvement;Mon- 21 Jul 2008 19:14:33 +0000;Fri- 15 Aug 2008 17:25:41 +0000;1 instances of the Facade Pattern were ADDED;1 instances of the Mediator Pattern were ADDED;
ZooKeeper;4cdb4305ad4acd8189b4f771b30f05d4cf68703e;Patrick D. Hunt;[ZOOKEEPER-134] findbugs cleanup;findbugs cleanup;ZOOKEEPER-134;Improvement;Wed- 3 Sep 2008 23:06:30 +0000;Thu- 4 Sep 2008 17:02:47 +0000;1 instances of the Bridge Pattern were REMOVED;1 instances of the Mediator Pattern were REMOVED;
ZooKeeper;ea54ef0825c6670cc6714e749d391f477420b118;Benjamin Reed;[ZOOKEEPER-136] sync causes hang in all followers of quorum;sync causes hang in all followers of quorum;ZOOKEEPER-136;Bug;Fri- 5 Sep 2008 18:27:46 +0000;Fri- 3 Oct 2008 13:12:35 +0000;1 instances of the Decorator Pattern were ADDED;1 instances of the Proxy Pattern were ADDED;
ZooKeeper;da1e988798fd0336a893e16e94d699e6b156c941;Patrick D. Hunt;[ZOOKEEPER-234] Eliminate using statics to initialize the sever.  Should allow server to be more embeddable in OSGi enviorments.;Eliminate using statics to initialize the sever.  Should allow server to be more embeddable in OSGi enviorments.;ZOOKEEPER-234;Improvement;Mon- 24 Nov 2008 21:01:29 +0000;Thu- 15 Jan 2009 22:59:50 +0000;1 instances of the Facade Pattern were REMOVED;;
ZooKeeper;a1ac465be361ff478f9b66147731e588fef64ff3;Flavio Paiva Junqueira;[ZOOKEEPER-276] Bookkeeper contribution;Bookkeeper contribution;ZOOKEEPER-276;New Feature;Tue- 20 Jan 2009 11:54:00 +0000;Fri- 30 Jan 2009 19:30:58 +0000;1 instances of the Facade Pattern were ADDED;1 instances of the Strategy Pattern were ADDED;
ZooKeeper;a4c675afff3b26171efd78ced4916e2f5fb25eb4;Mahadev Konar;[ZOOKEEPER-231] Quotas in zookeeper;Quotas in zookeeper;ZOOKEEPER-231;New Feature;Fri- 21 Nov 2008 21:13:13 +0000;Tue- 3 Feb 2009 05:26:51 +0000;1 instances of the Flyweight Pattern were ADDED;;
ZooKeeper;08cc3e01fcd26ab9eced8eba0516e49c14cf27d3;Patrick D. Hunt;[ZOOKEEPER-409] address all findbugs warnings in jute related classes;address all findbugs warnings in jute related classes;ZOOKEEPER-409;Sub-task;Mon- 18 May 2009 18:15:14 +0000;Fri- 22 May 2009 19:06:17 +0000;5 instances of the Facade Pattern were REMOVED;3 instances of the Mediator Pattern were REMOVED;
ZooKeeper;ba65c32347b12607cfa8160088b442e2f56a837e;Flavio Paiva Junqueira;[ZOOKEEPER-383] Asynchronous version of createLedger();Asynchronous version of createLedger();ZOOKEEPER-383;New Feature;Mon- 27 Apr 2009 20:35:44 +0000;Thu- 28 May 2009 05:01:29 +0000;1 instances of the Flyweight Pattern were ADDED;;
ZooKeeper;e1a1ee81f1aa930cae20fa3fc76485e45a95f066;Utkarsh Srivastava;[ZOOKEEPER-507] BookKeeper client re-write;BookKeeper client re-write;ZOOKEEPER-507;Improvement;Sat- 15 Aug 2009 08:26:12 +0000;Tue- 26 Jan 2010 23:20:53 +0000;1 instances of the Flyweight Pattern were REMOVED;1 instances of the Observer Pattern were ADDED;1 instances of the Strategy Pattern were REMOVED
ZooKeeper;30cff66e5efe6b99b7e7a2293061f0eea0def02f;Patrick D. Hunt;[ZOOKEEPER-733] use netty to handle client connections;use netty to handle client connections;ZOOKEEPER-733;Improvement;Mon- 5 Apr 2010 14:44:46 +0000;Wed- 18 Aug 2010 06:25:43 +0000;1 instances of the Decorator Pattern were REMOVED;1 instances of the Proxy Pattern were REMOVED;
ZooKeeper;7faeaa12f4da8dd076e1b7ac2e2c9ce288936e58;Unassigned;[ZOOKEEPER-1038] Move bookkeeper and hedwig code in subversion;Move bookkeeper and hedwig code in subversion;ZOOKEEPER-1038;Sub-task;Wed- 30 Mar 2011 05:28:52 +0000;Tue- 5 Apr 2011 20:05:23 +0000;1 instances of the Facade Pattern were REMOVED;1 instances of the Observer Pattern were REMOVED;
ZooKeeper;d25e90b75d234865eeaf0a5d33bcc6976f8da245;Thomas Koch;[ZOOKEEPER-1170] Fix compiler (eclipse) warnings: unused imports- unused variables- missing generics;Fix compiler (eclipse) warnings: unused imports- unused variables- missing generics;ZOOKEEPER-1170;Improvement;Fri- 2 Sep 2011 19:12:20 +0000;Wed- 14 Sep 2011 22:23:05 +0000;1 instances of the Facade Pattern were REMOVED;2 instances of the Strategy Pattern were REMOVED;
